"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1231,"CAS CONSTRUCTION","Sligo","Cuan Iosa, Ballymote",8,"Society of Saint Vincent de Paul","","","","","Q4-2018",""
1232,"CAS CONSTRUCTION","Sligo","Killeshin, First Sea Road, Sligo",5,"Newgrove Housing Association Ltd","","","Stage 3 approved Q2-2019, the scheme is now approved to proceed to tender.","","",""
1233,"SHIP CONSTRUCTION","Sligo","Collooney",15,"*N/A","","","","","Q4-2018",""
1234,"SHIP CONSTRUCTION","Sligo","Knappagh Road",28,"*N/A","","","","","Q4-2018",""
1235,"SHIP CONSTRUCTION","Sligo","Caltragh, Culleens",1,"*N/A","","","","","","Q4-2018"
1236,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace (2)",14,"*N/A","","","","","","Q3-2018"
1237,"SHIP CONSTRUCTION","Sligo","Daghloonagh, Keash - SRD",1,"*N/A","","","","","","Q4-2016"
1238,"SHIP CONSTRUCTION","Sligo","Rosses Point",14,"*N/A","","","","","Q4-2018",""
1239,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace (1)",8,"*N/A","","","","","","Q4-2017"
1240,"SHIP CONSTRUCTION","Sligo","Connolly Park, Tubbercurry",10,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
1241,"SHIP CONSTRUCTION","Sligo","Dromore West",10,"*N/A","","","Stage 3 approved Q2-2019, the scheme is now approved to proceed to tender.","","",""
1242,"SHIP CONSTRUCTION","Sligo","Robbers' Lane, Maugheraboy, Sligo",62,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
1243,"SHIP CONSTRUCTION","Sligo","House at Ballinode",1,"*N/A","","","","","","Q4-2018"
1244,"SHIP CONSTRUCTION","Sligo","94 St Joseph's Terrace",1,"*N/A","","","","","Q4-2018",""
1245,"CAS CONSTRUCTION","South Dublin","Collinstown Grove, Clondalkin",4,"T�ath Housing Association Ltd","","","","","Q1-2019",""
