No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed,,,,,,,,,,,,,
1505,CALF Turnkey,Laois,"Spa Street, Droughill, Portarlington, Co. Laois (Phase 1)*",26,Oaklee Housing,,,,,Q4-2020,,,,,,,,,,,,,,
1506,CALF Turnkey,Laois,"The Glen, Kilnacourt, Portarlington, Co. Laois (Phase 1)",18,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2020,,,,,,,,,,,,,
1507,CALF Turnkey,Laois,"The Maltings and Roselawn, Portlaoise, Co. Laois (Phase 1)*",15,Clúid Housing,,,,,Q1-2020,,,,,,,,,,,,,,
1508,CALF Turnkey,Laois,"The Maltings and Roselawn, Portlaoise, Co. Laois (Phase 2)*",40,Clúid Housing,,,,,Q1-2020,,,,,,,,,,,,,,
1509,CALF Turnkey,Laois,"The Meadows, Mountrath Road, Portlaoise, Co. Laois (Phase 1)*",48,Clúid Housing,,,,Q3-2021,,,,,,,,,,,,,,,
1510,CALF Turnkey,Laois,"The Springs, Kilminchy, Portlaoise, Co Laois (Phase 1)*",24,Clúid Housing,,,,,Q2-2021,,,,,,,,,,,,,,
1511,CALF Turnkey,Laois,"The Springs, Kilminchy, Portlaoise, Co Laois (Phase 2)",19,Clúid Housing,,,,,Q2-2021,,,,,,,,,,,,,,
1512,CALF Turnkey,Laois,"Wilton Lawns, Portarlington, Co. Laois (Phase 1)",2,Respond,,,,Q1-2021,,,,,,,,,,,,,,,
1513,SHIP CONSTRUCTION TURNKEY,Leitrim,Roosky,7,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1514,SHIP CONSTRUCTION TURNKEY,Leitrim,Drumshanbo,9,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1515,SHIP CONSTRUCTION TURNKEY,Leitrim,"Church Lane, Ballinamore",9,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1516,SHIP CONSTRUCTION TURNKEY,Leitrim,"Druminshingore, Newtowngore",2,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1517,SHIP CONSTRUCTION TURNKEY,Leitrim,"Carraig Breac, Drumshanbo",5,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
1518,SHIP CONSTRUCTION TURNKEY,Leitrim,"Oakgrove, Kinlough",5,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1519,SHIP CONSTRUCTION TURNKEY,Leitrim,"Ard na Drise, Mohill",3,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1520,SHIP CONSTRUCTION TURNKEY,Leitrim,"Ard na Drise, Mohill",2,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
1521,SHIP CONSTRUCTION TURNKEY,Leitrim,"Lough Meen Estate, Drumkeerin",2,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1522,SHIP CONSTRUCTION TURNKEY,Leitrim,"Commons Lane, Manorhamilton",4,*N/A,,,,"Stage 4 approved Q4-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
1523,SHIP CONSTRUCTION TURNKEY,Leitrim,"Cluain Oir, Liscara, Carrick on Shannon",2,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1524,SHIP CONSTRUCTION TURNKEY,Leitrim,Manorhamilton & Carrigallen,2,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
1525,SHIP CONSTRUCTION SINGLE STAGE,Leitrim,"Breffni Cres., 53 St. Patricks Park Site, Carrick on Shannon",2,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1526,SHIP CONSTRUCTION SINGLE STAGE,Leitrim,"Druminshingore Td., Newtowngore",3,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1527,SHIP CONSTRUCTION SINGLE STAGE,Leitrim,"Dromahair Td., Dromahair",4,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1528,SHIP CONSTRUCTION RENEWAL,Leitrim,"Sean McDermott St., Manorhamilton",4,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1529,SHIP CONSTRUCTION,Leitrim,"Autumn View, Summerhill, Carrick on Shannon",27,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1530,SHIP CONSTRUCTION,Leitrim,"Taobh Tire, Manorhamilton (Phase 2)",7,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1531,SHIP CONSTRUCTION,Leitrim,"Taobh Tire, Manorhamilton (Phase 3)",5,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1532,SHIP CONSTRUCTION,Leitrim,"Townparks, Carrick on Shannon",12,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1533,SHIP CONSTRUCTION,Leitrim,"Lahard, Ballinamore",10,*N/A,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1534,CAS CONSTRUCTION,Leitrim,Ballinamore,2,Society of Saint Vincent de Paul,,,,,,Q4-2017,,,,,,,,,,,,,
1535,CALF Turnkey,Leitrim,"Cnoc an Luir, Drumshanbo, Co. Leitrim (Phase 1)",10,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
1536,SHIP CONSTRUCTION TURNKEY,Limerick,"Woodlawn Park, Ballysimon Road, Limerick",9,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1537,SHIP CONSTRUCTION TURNKEY,Limerick,"Woodlawn Park, Ballysimon Road, Limerick",1,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1538,SHIP CONSTRUCTION TURNKEY,Limerick,"Carraig Desmond, Newcastle West",8,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1539,SHIP CONSTRUCTION TURNKEY,Limerick,Knocklong,2,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1540,SHIP CONSTRUCTION TURNKEY,Limerick,"Carraig Desmond, Newcastle West",2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1541,SHIP CONSTRUCTION TURNKEY,Limerick,"Redgate Close, Old Cratloe Road, Limerick City",14,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
1542,SHIP CONSTRUCTION TURNKEY,Limerick,"The Orchard, Main Street, Pallaskenry",8,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
1543,SHIP CONSTRUCTION TURNKEY,Limerick,"Gortboy, Charleville Road, kiImallock",33,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
1544,SHIP CONSTRUCTION TURNKEY,Limerick,"The Orchard, Main Street, Pallaskenry",8,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
1545,SHIP CONSTRUCTION TURNKEY,Limerick,Knocklong,5,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
1546,SHIP CONSTRUCTION RAPID,Limerick,"Faha View, Patrickswell",16,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1547,SHIP CONSTRUCTION RAPID,Limerick,"Old Christians Site, Rathbane",43,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1548,SHIP CONSTRUCTION RAPID,Limerick,"Barnakyle, Patrickswell (Site 2)",24,*N/A,"Stage 1 approved Q1-2018, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1549,SHIP CONSTRUCTION,Limerick,"Patrick’s Villas, Castleconnell",4,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1550,SHIP CONSTRUCTION,Limerick,"Ballysimon, Greenhill Road ",14,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
1551,SHIP CONSTRUCTION,Limerick,"Gough Place, Rosbrien Road, Limerick",17,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
1552,SHIP CONSTRUCTION,Limerick,"Burke Avenue, Limerick City",12,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1553,SHIP CONSTRUCTION,Limerick,"Fannings Corner, Limerick City",3,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1554,SHIP CONSTRUCTION,Limerick,"Wallers Well, Limerick City (Phase 2)",13,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1555,SHIP CONSTRUCTION,Limerick,"Clonmacken, Limerick City",43,*N/A,,,,,Q3-2019,,,,,,,,,,,,,,
1556,SHIP CONSTRUCTION,Limerick,"Glenview Drive, Hospital",20,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
1557,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",7,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1558,SHIP CONSTRUCTION,Limerick,"Hasset Villas, Thomondgate",3,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1559,SHIP CONSTRUCTION,Limerick,"Kilmurry Court, Garryowen",7,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1560,SHIP CONSTRUCTION,Limerick,"Rathbane Road, Limerick City",2,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
1561,SHIP CONSTRUCTION,Limerick,"Sycamore Avenue, Limerick City",5,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1562,SHIP CONSTRUCTION,Limerick,"Lower Carey's Road, Limerick City",11,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
1563,SHIP CONSTRUCTION,Limerick,"Kileely Road, Moyross",5,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1564,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",2,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1565,SHIP CONSTRUCTION,Limerick,Knocklong,12,*N/A,,,,,Q3-2021,,,,,,,,,,,,,,
1566,SHIP CONSTRUCTION,Limerick,"Colbert Terrace, Abbeyfeale",4,*N/A,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1567,SHIP CONSTRUCTION,Limerick,"St. Michael's Court, Watergate Flats, ",9,*N/A,"Stage 1 approved Q1-2018, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1568,SHIP CONSTRUCTION,Limerick,"Ballygrennan Road, Limerick City",2,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1569,SHIP CONSTRUCTION,Limerick,"Ballysimon, Greenhills Road",3,*N/A,,,,,Q2-2020,,,,,,,,,,,,,,
1570,SHIP CONSTRUCTION,Limerick,"Clueing Dara, Broadford, Limerick",18,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1571,SHIP CONSTRUCTION,Limerick,"Sycamore Crescent, Newcastle West, Co Limerick",21,*N/A,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1572,SHIP CONSTRUCTION,Limerick,"Radharc an Ghleanna, Mountcollins",4,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1573,SHIP CONSTRUCTION,Limerick,"O’Connor Park, Ardagh, Co. Limerick",8,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1574,SHIP CONSTRUCTION,Limerick,"Church Glen, Ballylanders, Co. Limerick",9,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1575,SHIP CONSTRUCTION,Limerick,"Radharc Cillin, Kilfinane, Co. Limerick",10,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1576,SHIP CONSTRUCTION,Limerick,"Ballycummin Road, Raheen, Co. Limerick",19,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1577,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",79,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1578,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",2,*N/A,,,,,,Q1-2017,,,,,,,,,,,,,
1579,REGENERATION,Limerick,Sheep / Athlunkards Street,8,Túath Housing Association Ltd,,,"Stage 3 approved Q1-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1580,REGENERATION,Limerick,Churchfield,19,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
1581,REGENERATION,Limerick,Churchfield (Phase 2),38,Cluid Housing Association,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1582,REGENERATION,Limerick,Cosgrave Park,30,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1583,REGENERATION,Limerick,Orchard Site,27,Oaklee Housing Trust,,,"Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1584,REGENERATION,Limerick,176 & 177 Cliona Park,2,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
1585,REGENERATION,Limerick,Cliona Park (Phase 2),10,*N/A,,,,,,Q2-2017,,,,,,,,,,,,,
1586,REGENERATION,Limerick,8-10 Gaol Lane,3,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
1587,REGENERATION,Limerick,1 3 Weston Gardens,3,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
1588,REGENERATION,Limerick,2016 Moyross Rebuild,6,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
1589,REGENERATION,Limerick,2016 Southhill Rebuild,8,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
1590,REGENERATION,Limerick,2016 St. Mary's Park Rebuild,9,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
1591,REGENERATION,Limerick,"Ballinacurra Weston Vacant Refurbs, Lot 1 & 2**",14,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
1592,REGENERATION,Limerick,St. Mary's Park Infills,15,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1593,REGENERATION,Limerick,Cliona Park (Phase 3),18,Túath Housing Association Ltd,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1594,REGENERATION,Limerick,45A-46A Cliona Park,2,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
1595,REGENERATION,Limerick,Dalgaish Park,27,*N/A,,,"Stage 3 approved Q1-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1596,REGENERATION,Limerick,2017 St Mary's Park Rebuild,1,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1597,REGENERATION,Limerick,2017 Ballinacurra Weston Rebuild,1,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1598,REGENERATION,Limerick,2017 Southill Rebuilds,13,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1599,REGENERATION,Limerick,2017 Moyross Rebuild,1,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1600,REGENERATION,Limerick,Churchfield,23,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
1601,REGENERATION,Limerick,St. Mary's Park Infills,4,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
1602,REGENERATION,Limerick,"Infills Carew Park, Southhill and Moyross ",38,Peter McVerry Trust Ltd,,,,,Q1-2021,,,,,,,,,,,,,,
1603,REGENERATION,Limerick,"2019 Rebuilds (Southill, Moyross, St Mary's Park and Ballinacurra Weston)",8,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1604,CAS CONSTRUCTION TURNKEY,Limerick,"Carebright Community, Ardykeohane, Bruff",6,Carebright Ltd,,,,,,Q1-2019,,,,,,,,,,,,,
1605,CAS CONSTRUCTION TURNKEY,Limerick,"Barrack Mews, Brennan's Row, Cathedral Place",2,Arlington Novas Ireland Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
1606,CAS CONSTRUCTION TURNKEY,Limerick,"Barrack Mews, Brennan's Row, Cathedral place",3,Arlington Novas Ireland Ltd,,,,,,Q1-2020,,,,,,,,,,,,,
1607,CAS CONSTRUCTION TURNKEY,Limerick,"Barrack Mews, Brennan's Row, Cathedral place",1,Arlington Novas Ireland Ltd,,,,,,Q2-2020,,,,,,,,,,,,,
1608,CAS CONSTRUCTION,Limerick,"Towerfield Crescent, Croom",16,Croom Voluntary Housing Association Ltd,,"Stage 2 approved Q2-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1609,CAS CONSTRUCTION,Limerick,Cappamore,10,Cappamore Housing Association Ltd,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1610,CAS CONSTRUCTION,Limerick,"Speakers Corner, Limerick City",4,Simon Community : Midwest Simon,,,,,,Q3-2018,,,,,,,,,,,,,
1611,CAS CONSTRUCTION,Limerick,"Cuan Mhuire, Bruree",6,Cuan Mhuire Teoranta,,,,,,Q3-2018,,,,,,,,,,,,,
1612,CAS CONSTRUCTION,Limerick,"Mirth, Thomondgate",18,Associated Charities Trust Ltd,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1613,CAS CONSTRUCTION,Limerick,"Cois na Feile, Abbeyfeale ",12,Cluid Housing Association,,,,,,Q4-2016,,,,,,,,,,,,,
1614,CAS CONSTRUCTION,Limerick,2/3 Mallow Street,12,Peter McVerry Trust Ltd,,"Stage 2 approved Q3-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1615,CAS CONSTRUCTION,Limerick,"St. Pauls Convent, Kilfinane",9,Sophia Housing Association Ltd,,"Stage 2 approved Q3-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1616,CAS CONSTRUCTION,Limerick,"McGarry House, 7 Alphonsus Street",8,Arlington Novas Ireland Ltd,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1617,CAS CONSTRUCTION,Limerick,"47 & 48 Main Street, Croom, Limerick",4,Croom Voluntary Housing Association Ltd,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1618,CAS CONSTRUCTION,Limerick,58 Henry Street,5,Simon Community : Midwest Simon,,,,,Q1-2021,,,,,,,,,,,,,,
1619,CAS CONSTRUCTION,Limerick,"28/29 Lower Gerald Griffin Street, Limerick",4,Peter McVerry Trust Ltd,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1620,CAS CONSTRUCTION,Limerick,"42 St Joseph's Street, Limerick",3,Peter McVerry Trust Ltd,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1621,CALF Turnkey,Limerick,19 and 20 Castleview Shopping Centre Castleconnell  Limerick (Phase 1),2,Focus Housing Association CLG,,,,,,Q4-2021,,,,,,,,,,,,,
1622,CALF Turnkey,Limerick,"Ballygrennan Close, Moyross, Limerick  (Phase 1)",2,Respond,,,,,,Q4-2018,,,,,,,,,,,,,
1623,CALF Turnkey,Limerick,"Ballygrennan Close, Moyross, Limerick  (Phase 2)",2,Respond,,,,,,Q4-2018,,,,,,,,,,,,,
1624,CALF Turnkey,Limerick,"Ballygrennan Close, Moyross, Limerick  (Phase 3)",2,Respond,,,,,,Q4-2018,,,,,,,,,,,,,
1625,CALF Turnkey,Limerick,"Baunacloka Heights, Mungret Gate, Mungret, Co. Limerick (Phase 1)",46,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2020,,,,,,,,,,,,,
1626,CALF Turnkey,Limerick,"Baunacloka Heights, Mungret Gate, Mungret, Co. Limerick (Phase 2)*",25,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021,,,,,,,,,,,,,
1627,CALF Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 1)*",52,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021,,,,,,,,,,,,,
1628,CALF Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 2)",28,Co - Operative Housing Ireland Society Limited,,,,,Q2-2020,,,,,,,,,,,,,,
1629,CALF Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 3)*",23,Co - Operative Housing Ireland Society Limited,,,,,Q2-2020,,,,,,,,,,,,,,
1630,CALF Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 4)*",34,Co - Operative Housing Ireland Society Limited,,,,,Q2-2020,,,,,,,,,,,,,,
1631,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 1)*",35,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021,,,,,,,,,,,,,
1632,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 2)",12,Co - Operative Housing Ireland Society Limited,,,,,Q3-2020,,,,,,,,,,,,,,
1633,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 3)*",21,Co - Operative Housing Ireland Society Limited,,,,,Q3-2020,,,,,,,,,,,,,,
1634,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 4)*",20,Co - Operative Housing Ireland Society Limited,,,,,Q3-2020,,,,,,,,,,,,,,
1635,CALF Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 5)*",22,Co - Operative Housing Ireland Society Limited,,,,,Q3-2020,,,,,,,,,,,,,,
1636,CALF Turnkey,Limerick,"Cluain Ard, Fedamore, Co Limerick  (Phase 1)",2,Co - Operative Housing Ireland Society Limited,,,,,,Q1-2018,,,,,,,,,,,,,
1637,CALF Turnkey,Limerick,"Cluain Ard, Fedamore, Co Limerick  (Phase 2)",2,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2018,,,,,,,,,,,,,
1638,CALF Turnkey,Limerick,"Cois Carraig, Clarina Village, Clarina, Co. Limerick (Phase 1)",18,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
1639,CALF Turnkey,Limerick,"Dromsally Woods, Cappamore, Co. Limerick (Phase 1)",5,Focus Housing Association CLG,,,,,Q3-2020,,,,,,,,,,,,,,
1640,CALF Construction,Limerick,"Hyde Road, Limerick City (Phase 1)",20,Clúid Housing,,,,,,Q1-2018,,,,,,,,,,,,,
1641,CALF Turnkey,Limerick,"Laurelville, Mill Road, Corbally, Limerick (Phase 1)",4,Clúid Housing,,,,,Q3-2018,,,,,,,,,,,,,,
1642,CALF Turnkey,Limerick,"Laurelville, Mill Road, Corbally, Limerick (Phase 2)*",9,Clúid Housing,,,,,Q3-2018,,,,,,,,,,,,,,
1643,CALF Turnkey,Limerick,"Mungret Gate, Baunacloka, Mungret, Limerick (Phase 1)",8,Clúid Housing,,,,,,Q2-2021,,,,,,,,,,,,,
1644,CALF Turnkey,Limerick,"Mungret Gate, Baunacloka, Mungret, Limerick (Phase 2)*",23,Clúid Housing,,,,,Q3-2018,,,,,,,,,,,,,,
1645,CALF Turnkey,Limerick,"Newtown, Castletroy, Limerick (Phase 1)*",31,Clúid Housing,,,,Q2-2021,,,,,,,,,,,,,,,
1646,CALF Turnkey,Limerick,"Old Dublin Road, Rhebogue, Limerick (Phase 1)*",16,Focus Housing Association CLG,,,,,Q1-2021,,,,,,,,,,,,,,
1647,CALF Turnkey,Limerick,"Phase 2 Newtown Meadows, Castletroy, Limerick (Phase 1)*",32,Clúid Housing,,,,Q4-2021,,,,,,,,,,,,,,,
1648,CALF Turnkey,Limerick,"Revised - Ard Aulin, Mungret, Co Limerick (Phase 1)",7,Clúid Housing,,,,,,Q2-2017,,,,,,,,,,,,,
1649,CALF Turnkey,Limerick,"Toormore, Main Street, Bruree, Co. Limerick (Phase 1)",16,Clúid Housing,,,,,,Q2-2021,,,,,,,,,,,,,
1650,CALF Construction,Limerick,"Turragh Crescent, Cappamore, Limerick (Phase 1)",15,Clúid Housing,,,,Q3-2021,,,,,,,,,,,,,,,
1651,CALF Turnkey,Limerick,"Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 1)*",19,Clúid Housing,,,,,Q3-2020,,,,,,,,,,,,,,
1652,CALF Turnkey,Limerick,"Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 2)",11,Clúid Housing,,,,,Q3-2020,,,,,,,,,,,,,,
1653,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",14,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1654,SHIP CONSTRUCTION TURNKEY,Longford,"Knock, Lanesborough",4,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
1655,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",2,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
1656,SHIP CONSTRUCTION TURNKEY,Longford,Ballinamuck,7,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1657,SHIP CONSTRUCTION TURNKEY,Longford,Ballinamuck,4,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1658,SHIP CONSTRUCTION TURNKEY,Longford,Ballinamuck,6,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1659,SHIP CONSTRUCTION TURNKEY,Longford,"Rock View, Cloondara",5,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1660,SHIP CONSTRUCTION TURNKEY,Longford,"Greville Court, Granard",14,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1661,SHIP CONSTRUCTION TURNKEY,Longford,"Knock, Lanesborough",29,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1662,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1663,SHIP CONSTRUCTION TURNKEY,Longford,"Carragh, Granard",4,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1664,SHIP CONSTRUCTION TURNKEY,Longford,"Church Street, Edgeworthstown",5,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
1665,SHIP CONSTRUCTION TURNKEY,Longford,"Smithfield, Legan",18,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
1666,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1667,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",4,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
1668,SHIP CONSTRUCTION TURNKEY,Longford,"Carragh, Granard",6,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1669,SHIP CONSTRUCTION TURNKEY,Longford,"Carragh, Granard",4,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
1670,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",4,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1671,SHIP CONSTRUCTION TURNKEY,Longford," Abhainn Glas, Edgeworthstown",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1672,SHIP CONSTRUCTION TURNKEY,Longford,"Caislean Breac, Newtownforbes",2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1673,SHIP CONSTRUCTION TURNKEY,Longford,"Farnagh Hill, Longford Town",4,*N/A,,,,,,Q1-2020,,,,,,,,,,,,,
1674,SHIP CONSTRUCTION TURNKEY,Longford,"Carragh, Granard",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1675,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish",2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1676,SHIP CONSTRUCTION TURNKEY,Longford,"Farnagh Hill, Longford Town",6,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
