"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
669,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield (Phase 1), Ongar, Dublin 15",16,"*N/A","","","","","","Q1-2018"
670,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield (Phase 2), Ongar, Dublin 15",16,"*N/A","","","","","","Q2-2018"
671,"SHIP CONSTRUCTION TURNKEY","Fingal","Kenure Gate, Park Road, Rush",4,"*N/A","","","","","","Q4-2018"
672,"SHIP CONSTRUCTION TURNKEY","Fingal","Northwood Green, Santry, Dublin 9",37,"*N/A","","","","","","Q4-2018"
673,"SHIP CONSTRUCTION TURNKEY","Fingal","Ravenswood, North Road, Finglas (Phase 2)",2,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
674,"SHIP CONSTRUCTION RAPID","Fingal","Church Road, Mulhuddart, Dublin 15",22,"*N/A","","","","","","Q4-2019"
675,"SHIP CONSTRUCTION RAPID","Fingal","Pinewood, Balbriggan",20,"*N/A","","","","","","Q2-2018"
676,"SHIP CONSTRUCTION RAPID","Fingal","Wellview, Mulhuddart",20,"*N/A","","","","","","Q4-2017"
677,"CALF Turnkey","Galway City","Boireann Beag, Ros Cam, Galway (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
678,"CALF Turnkey","Galway City","Belmont, Renmore, Galway City (Phase 1)*",16,"Co-operative Housing Ireland","","","","","","Q4-2019"
679,"CALF Turnkey","Galway City","Block D, Sraith Fhada, Doughiska, Galway (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2019"
680,"CALF Turnkey","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 2)*",8,"Respond","","","","","Q2-2019",""
681,"CALF Turnkey","Galway City","Breacan, Letteragh Road, Galway City (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q4-2019"
682,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 2)",63,"Respond","","","","","Q2-2018",""
683,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 3)",8,"Respond","","","","","Q2-2018",""
684,"CALF Turnkey","Galway City","Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,"Cluid Housing","","","","","","Q3-2017"
685,"CALF Turnkey","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 1)",7,"Respond","","","","","","Q4-2019"
686,"CALF Turnkey","Galway City","Maigh Rua, Doughiska, Galway  (Phase 1)",23,"Co-operative Housing Ireland","","","","","","Q4-2017"
