"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
593,"SHIP CONSTRUCTION TURNKEY","Kildare","Bodkin Place, Kilmeague",16,"*N/A","","","","","","Q4-2017"
594,"SHIP CONSTRUCTION TURNKEY","Kildare","Drogheda Street (Cassidy's Court), Monasterevin",6,"*N/A","","","","","","Q4-2017"
595,"SHIP CONSTRUCTION TURNKEY","Kildare","Oaktree, Tully Road, Kildare Town",8,"*N/A","","","","","","Q3-2018"
596,"SHIP CONSTRUCTION TURNKEY","Kildare","Moore Abbey Court, Monasterevin",2,"*N/A","","","","","","Q1-2018"
597,"SHIP CONSTRUCTION TURNKEY","Kildare","Drogheda Street (Cassidy's Court), Monasterevin",7,"*N/A","","","","","","Q1-2018"
598,"SHIP CONSTRUCTION TURNKEY","Kildare","Moss Brook, Prosperous",2,"*N/A","","","","","","Q1-2018"
599,"SHIP CONSTRUCTION TURNKEY","Kildare","Hawthorn Manor, Brockagh, Coill Dubh",2,"*N/A","","","","","","Q4-2018"
600,"SHIP CONSTRUCTION TURNKEY","Kildare","Whitethorn Park, Allenwood",2,"*N/A","","","","","","Q3-2018"
601,"SHIP CONSTRUCTION TURNKEY","Kildare","The Pike, Castledermot",6,"*N/A","","","","","","Q4-2018"
602,"SHIP CONSTRUCTION TURNKEY","Kildare","Grove Lane, Robertstown",3,"*N/A","","","","","Q1-2017",""
603,"SHIP CONSTRUCTION TURNKEY","Kildare","Brookes Mill, Prosperous",5,"*N/A","","","","","","Q4-2018"
604,"SHIP CONSTRUCTION TURNKEY","Kildare","The Green, Elsmore Naas",5,"*N/A","","","","","","Q4-2018"
605,"SHIP CONSTRUCTION RAPID","Kildare","Old Greenfield Road, Maynooth",47,"*N/A","Stage 1 approved Q4-2017, outline design and costs being prepared.","","","","",""
606,"SHIP CONSTRUCTION","Kildare","Hillview Terrace, Narraghmore",4,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
607,"SHIP CONSTRUCTION","Kildare","Athgarvan Village",18,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
608,"SHIP CONSTRUCTION","Kildare","Rathasker Road, Naas",48,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
609,"SHIP CONSTRUCTION","Kildare","Dunmurry Rise, Bishopsland",32,"*N/A","","","","","Q1-2018",""
610,"SHIP CONSTRUCTION","Kildare","Anne Street, Prosperous",12,"*N/A","","","Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.","","",""
611,"SHIP CONSTRUCTION","Kildare","Beechgrove, Rathangan",18,"*N/A","","","","","Q4-2018",""
612,"SHIP CONSTRUCTION","Kildare","Kilcock (Phase 2.1)",6,"*N/A","","","","","","Q4-2017"
613,"SHIP CONSTRUCTION","Kildare","Athgarvan Road, Newbridge",13,"*N/A","","","","","","Q3-2018"
614,"SHIP CONSTRUCTION","Kildare","Newtown, Leixlip",4,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
615,"SHIP CONSTRUCTION","Kildare","Coill Dubh, Co. Kildare",10,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
616,"SHIP CONSTRUCTION","Kildare","Ardclough Road, Celbridge",36,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
617,"SHIP CONSTRUCTION","Kildare","Kilcock (Phase 2.2)",13,"*N/A","","","","","","Q1-2018"
618,"SHIP CONSTRUCTION","Kildare","Skenagun, Castledermot",2,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
619,"CAS CONSTRUCTION","Kildare","Craddockstown, Naas",3,"KARE Promoting Inclusion for People with Intellectual Disabilities","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
620,"CAS CONSTRUCTION","Kildare","Main St., Kilcullen",4,"Camphill Communities of Ireland","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
621,"CAS CONSTRUCTION","Kildare","El Kantara, Newbridge",2,"KARE Promoting Inclusion for People with Intellectual Disabilities","Stage 1 approved Q1-2016, outline design and costs being prepared.","","","","",""
622,"CAS CONSTRUCTION","Kildare","Mansfield Grove, Athy",4,"KARE Promoting Inclusion for People with Intellectual Disabilities","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
623,"CAS CONSTRUCTION","Kildare","Jigginstown House, Naas",12,"Homeless Care Ltd","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
624,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Kildare","Craddockstown, Naas",74,"*N/A","","","","Q3-2018","",""
625,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Kildare","Butterstream, Clane",77,"*N/A","","","Q1-2018","","",""
626,"CALF Turnkey","Kilkenny","Margaret�s Field, Callan Road, Kilkenny City (Phase 1)",40,"Respond","","","","Q3-2018","",""
627,"CALF Turnkey","Kilkenny","Love Lane, Castlecomer, Co. Kilkenny (Phase 1)",4,"Co-operative Housing Ireland","","","","Q2-2018","",""
628,"CALF Construction","Kilkenny","Friary Walk, Callan, Co Kilkenny (Phase 1)",16,"Cluid Housing","","","","","Q1-2018",""
629,"CALF Turnkey","Kilkenny","Golf Links Road, Kilkenny (Phase 1)*",39,"Respond","","","","","Q2-2018",""
630,"CALF Construction","Kilkenny","Walkin St Kilkenny (Phase 1)",27,"Oaklee Housing","","","","","Q3-2018",""
631,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 1)",11,"Respond","","","","","Q4-2018",""
632,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 2)",17,"Respond","","","","","Q4-2018",""
633,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 3)*",22,"Respond","","","","","Q4-2018",""
634,"CALF Turnkey","Kilkenny","Logan Square, Thomastown, Co Kilkenny (Phase 1)*",16,"Oaklee Housing","","","","","","Q2-2017"
635,"CALF Turnkey","Kilkenny","Side Road, Moneenroe, Castlecomer, Co. Kilkenny (Phase 1)",9,"Oaklee Housing","","","","","","Q3-2018"
636,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 1)",4,"Co-operative Housing Ireland","","","","","","Q4-2018"
637,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 2)",6,"Co-operative Housing Ireland","","","","","","Q4-2018"
638,"CALF Turnkey","Kilkenny","O�Loughlin Court, Kilkenny  (Phase 1)",2,"Respond","","","","","","Q4-2018"
639,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",11,"*N/A","","","","","","Q2-2017"
640,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Newpark, Castlecomer Road, Kilkenny",7,"*N/A","","","","","","Q1-2017"
641,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank (Phase 1)",8,"*N/A","","","","","","Q1-2018"
642,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",5,"*N/A","","","","","","Q4-2017"
643,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank (Phase 2)",1,"*N/A","","","","","","Q3-2018"
644,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford (Phase 3)",18,"*N/A","","","","","","Q4-2018"
645,"SHIP CONSTRUCTION TURNKEY","Kilkenny","New Road, Mooncoin",4,"*N/A","","","","","Q3-2018",""
646,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Chapel Street, Mooncoin",2,"*N/A","","","","","Q3-2018",""
647,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Ogenty, Gowran",12,"*N/A","","","","","","Q4-2018"
648,"SHIP CONSTRUCTION SINGLE STAGE","Kilkenny","Group Home Cloghabrody, Thomastown",1,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
649,"SHIP CONSTRUCTION","Kilkenny","Blackstaff House, Callan",4,"*N/A","","","","","Q4-2018",""
650,"SHIP CONSTRUCTION","Kilkenny","Barna, Freshford",1,"*N/A","","","","","","Q2-2018"
651,"SHIP CONSTRUCTION","Kilkenny","Golf Links Road, Kilkenny",7,"*N/A","","","","Stage 4 approved Q2-2018, the scheme is fully approved.","",""
652,"SHIP CONSTRUCTION","Kilkenny","Crokers Hill, Pennyswell Road, Kilkenny",80,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
653,"SHIP CONSTRUCTION","Kilkenny","Main Street, Piltown",17,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
654,"SHIP CONSTRUCTION","Kilkenny","Station Road, Ballyragget",22,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
655,"SHIP CONSTRUCTION","Kilkenny","Bolton, Callan",38,"*N/A","","","","","Q2-2018",""
656,"SHIP CONSTRUCTION","Kilkenny","Donaguile, Castlecomer",33,"*N/A","","","","","Q4-2018",""
657,"SHIP CONSTRUCTION","Kilkenny","Rosehill, Kells Road, Kilkenny",6,"*N/A","","","","","","Q1-2017"
658,"SHIP CONSTRUCTION","Kilkenny","Gaol Road, Kilkenny",10,"*N/A","","","","","","Q3-2016"
659,"SHIP CONSTRUCTION","Kilkenny","Greensbridge House",5,"*N/A","","","","","","Q4-2018"
660,"SHIP CONSTRUCTION","Kilkenny","The Broguemaker, Kilkenny",15,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
661,"SHIP CONSTRUCTION","Kilkenny","Ladywell, Thomastown",15,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
662,"CAS CONSTRUCTION","Kilkenny","Kingsriver, Ennisnag",2,"Kingsriver Housing Association Limited","","","","","Q4-2018",""
663,"CAS CONSTRUCTION","Kilkenny","Garrin Green",6,"SOS Kilkenny Housing Association Ltd","","","","","","Q4-2018"
664,"CAS CONSTRUCTION","Kilkenny","Hazelbrook, Newrath",2,"Waterford Dove Housing Association","","","","","","Q1-2018"
665,"CAS CONSTRUCTION","Kilkenny","Good Shepherd Centre - Wing 1952",12,"The Good Shepherd Centre (Kilkenny) Ltd","","","","","","Q4-2018"
666,"CAS CONSTRUCTION","Kilkenny","Nimble Spaces Project at Callan",15,"Camphill Communities of Ireland","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
667,"CAS CONSTRUCTION","Kilkenny","""Brooke House"", Thomastown",5,"Camphill Communities of Ireland","","","","","","Q3-2017"
668,"CAS CONSTRUCTION","Kilkenny","Friary Walk, Callan",12,"Cluid Housing Association","","","","","","Q3-2016"
669,"CAS CONSTRUCTION","Kilkenny","Camphill ~Communities Garden Cottage, The Workhouse, Callan",1,"Camphill Communities of Ireland","","","","","","Q4-2017"
670,"CAS CONSTRUCTION","Kilkenny","Kyle, Callan, Co. Kilkenny",4,"Camphill Communities of Ireland","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
671,"CAS CONSTRUCTION","Kilkenny","""Red Barn"" Patrick Street, Ballyragget",16,"Good Shepherd Services Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
672,"CAS CONSTRUCTION","Kilkenny","Smith's Road, Ballyraggett",4,"Oaklee Housing Trust","","","","","","Q4-2018"
673,"CAS CONSTRUCTION","Kilkenny","Fennelly's Lane Jerpoint",5,"Camphill Communities of Ireland","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
674,"CAS CONSTRUCTION","Kilkenny","Kilkenny Street, Castlecomer",4,"Good Shepherd Services Ltd","","","","","Q4-2018",""
675,"CAS CONSTRUCTION","Kilkenny","Blackmill Street, Kilkenny",12,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
676,"CAS CONSTRUCTION","Kilkenny","Brother Thomas Place, Church Lane, kilkenny",12,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
677,"CALF Turnkey","Laois","Main Street, Stradbally, Co. Laois (Phase 1)",16,"North & East Housing Association Ltd","","","","Q4-2018","",""
678,"CALF Construction","Laois"," Cluinin  Mountrath, Co. Laois (Phase 1)",11,"Oaklee Housing","","","","","","Q1-2018"
679,"CALF Construction","Laois","Kirwan Park, Mountmellick, Co Laois  (Phase 1)",2,"Cluid Housing","","","","","","Q2-2018"
680,"CALF Turnkey","Laois"," Droimnin, Stradbally, Co Laois  (Phase 1)",6,"Cluid Housing","","","","","","Q3-2018"
681,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 1)",17,"T�ath Housing Association Ltd","","","","","","Q3-2018"
682,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 2)",9,"T�ath Housing Association Ltd","","","","","","Q4-2018"
683,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 3)",13,"T�ath Housing Association Ltd","","","","","","Q4-2018"
684,"SHIP CONSTRUCTION SINGLE STAGE","Laois","Harpurs Lane, Portlaoise",1,"*N/A","","","","Stage 4 approved Q1-2018, the scheme is fully approved.","",""
685,"SHIP CONSTRUCTION SINGLE STAGE","Laois","Hillview, Portlaoise",2,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
686,"SHIP CONSTRUCTION SINGLE STAGE","Laois","Harbour Court, Mountmellick",6,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
687,"SHIP CONSTRUCTION SINGLE STAGE","Laois","The Orchard, Stardbally",6,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
688,"SHIP CONSTRUCTION","Laois","Main Street, Rathdowney",6,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
689,"SHIP CONSTRUCTION","Laois","Ballymorris Road, Portarlington",22,"*N/A","","Stage 2 approved Q1-2018, full design/tender being prepared.","","","",""
690,"SHIP CONSTRUCTION","Laois","Gleann na Glaise, Ballyroan",10,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
691,"SHIP CONSTRUCTION","Laois","Pattison Est. Mountmellick",10,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
692,"SHIP CONSTRUCTION","Laois","Shannon Street, Mountrath",6,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
693,"SHIP CONSTRUCTION","Laois","Conniberry Way, Old Knockmay Road, Portlaoise",33,"*N/A","","","","","","Q2-2018"
694,"SHIP CONSTRUCTION","Laois","Mooreville, Rathdowney",8,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
695,"SHIP CONSTRUCTION","Laois","Coolroe, Ballybrittas",1,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
696,"SHIP CONSTRUCTION","Laois","Sean Doire, Cork Road, Durrow",22,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
697,"CAS CONSTRUCTION","Laois","Abbeyleix Road, Portlaoise",16,"Respond","","Stage 2 approved Q1-2017, full design/tender being prepared.","","","",""
698,"CAS CONSTRUCTION","Laois","Presentation Convent & Lands, Portlaoise, ",47,"Sophia Housing Association Ltd","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
699,"SHIP CONSTRUCTION TURNKEY","Leitrim","Roosky",7,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
700,"SHIP CONSTRUCTION TURNKEY","Leitrim","Drumshanbo",9,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
701,"SHIP CONSTRUCTION","Leitrim","Autumn View, Summerhill, Carrick on Shannon",27,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
702,"SHIP CONSTRUCTION","Leitrim","Taobh Tire, Manorhamilton (Phase 2)",7,"*N/A","","","","","","Q4-2018"
703,"CAS CONSTRUCTION","Leitrim","Ballinamore",2,"Society of Saint Vincent de Paul","","","","","","Q4-2017"
704,"CALF Turnkey","Limerick","Ard Aulin, Mungret, Co Limerick (Phase 1)",7,"Cluid Housing","","","","","","Q2-2017"
705,"CALF Turnkey","Limerick","Cluain Ard, Fedamore, Co Limerick  (Phase 1)",2,"Co-operative Housing Ireland","","","","","","Q1-2018"
706,"CALF Construction","Limerick","Hyde Road, Limerick City (Phase 1)",20,"Cluid Housing","","","","","","Q1-2018"
707,"CALF Turnkey","Limerick","Cluain Ard, Fedamore, Co Limerick  (Phase 2)",2,"Co-operative Housing Ireland","","","","","","Q3-2018"
708,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 1)",2,"Respond","","","","","","Q4-2018"
709,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 2)",2,"Respond","","","","","","Q4-2018"
710,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 3)",2,"Respond","","","","","","Q4-2018"
711,"SHIP CONSTRUCTION TURNKEY","Limerick","Woodlawn Park, Ballysimon Road, Limerick",11,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
712,"SHIP CONSTRUCTION RAPID","Limerick","Deerpark, Adare",30,"*N/A","Stage 1 approved Q2-2015, outline design and costs being prepared.","","","","",""
713,"SHIP CONSTRUCTION RAPID","Limerick","Lisheen Park, Patrickswell",16,"*N/A","","","","","Q4-2018",""
714,"SHIP CONSTRUCTION RAPID","Limerick","Old Christians Site, Rathbane",43,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
715,"SHIP CONSTRUCTION RAPID","Limerick","Patrickswell (Site 2)",24,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
716,"SHIP CONSTRUCTION","Limerick","Patrick�s Villas, Castleconnell",4,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
717,"SHIP CONSTRUCTION","Limerick","Ballysimon, Greenhill Road ",14,"*N/A","","","","","Q4-2018",""
718,"SHIP CONSTRUCTION","Limerick","Gough Place, Rosbrien Road, Limerick",17,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
719,"SHIP CONSTRUCTION","Limerick","Burke Avenue, Limerick City",12,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
720,"SHIP CONSTRUCTION","Limerick","Chas Flats, Limerick City",3,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
721,"SHIP CONSTRUCTION","Limerick","Joseph Street, Limerick City",3,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
722,"SHIP CONSTRUCTION","Limerick","Wallers Well, Limerick City (Phase 2)",13,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
723,"SHIP CONSTRUCTION","Limerick","Clonmacken, Limerick City",43,"*N/A","","Stage 2 approved Q4-2017, full design/tender being prepared.","","","",""
724,"SHIP CONSTRUCTION","Limerick","Glenview Drive, Hospital",20,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
725,"SHIP CONSTRUCTION","Limerick","Clare Street, Limerick City",7,"*N/A","","","","","Q3-2018",""
726,"SHIP CONSTRUCTION","Limerick","Hasset Villas, Thomondgate",3,"*N/A","","","","","","Q4-2018"
727,"SHIP CONSTRUCTION","Limerick","Kilmurry Court, Garryowen",7,"*N/A","","","","","Q3-2018",""
728,"SHIP CONSTRUCTION","Limerick","Rathbane Road, Limerick City",2,"*N/A","","","","","Q3-2018",""
729,"SHIP CONSTRUCTION","Limerick","Sycamore Avenue, Limerick City",5,"*N/A","","","","","Q3-2018",""
730,"SHIP CONSTRUCTION","Limerick","Lower Carey's Road, Limerick City",11,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
731,"SHIP CONSTRUCTION","Limerick","Kileely Road, Moyross",5,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
732,"SHIP CONSTRUCTION","Limerick","Ballygreannan Road, Limerick City",2,"*N/A","","","","","","Q4-2017"
733,"SHIP CONSTRUCTION","Limerick","Clare Street, Limerick City",2,"*N/A","","","","","","Q4-2017"
734,"SHIP CONSTRUCTION","Limerick","Mountpelier",10,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
735,"SHIP CONSTRUCTION","Limerick","Knocklong",10,"*N/A","Stage 1 approved Q4-2017, outline design and costs being prepared.","","","","",""
736,"SHIP CONSTRUCTION","Limerick","Convent Street, King's Island",2,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
737,"SHIP CONSTRUCTION","Limerick","Knockalisheen Road, Moyross",5,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
738,"SHIP CONSTRUCTION","Limerick","Colbert Terrace, Abbeyfeale",9,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
739,"SHIP CONSTRUCTION","Limerick","St. Michael's Court, Watergate Flats, ",9,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
740,"REGENERATION","Limerick","Lord Edward Street, P2: Main Contract",79,"*N/A","","","","","","Q4-2017"
741,"REGENERATION","Limerick","Lord Edward Street, P2: Main Contract",2,"*N/A","","","","","","Q1-2017"
742,"REGENERATION","Limerick","Gaol Lane",1,"*N/A","","Stage 2 approved Q3-2016, full design/tender being prepared.","","","",""
743,"REGENERATION","Limerick","Sheep / Athlunkards Street",8,"*N/A","","Stage 2 approved Q2-2014, full design/tender being prepared.","","","",""
744,"REGENERATION","Limerick","Churchfield (Phase 1.2)",19,"*N/A","","","","","","Q1-2018"
745,"REGENERATION","Limerick","Churchfield (Phase 2)",38,"Circle Voluntary Housing Association Ltd","","Stage 2 approved Q4-2014, full design/tender being prepared.","","","",""
746,"REGENERATION","Limerick","Cosgrave Park",30,"Co-operative Housing Ireland (Formerly NABCo)","","","Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.","","",""
747,"REGENERATION","Limerick","Palm Court",27,"Respond","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
748,"REGENERATION","Limerick","Orchard Site",26,"Oaklee Housing Trust","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
749,"REGENERATION","Limerick","Cliona Park",2,"*N/A","","","","","","Q2-2016"
750,"REGENERATION","Limerick","Cliona Park (Phase 2)",10,"*N/A","","","","","","Q2-2017"
751,"REGENERATION","Limerick","Gaol Lane",3,"*N/A","","","","","","Q4-2016"
752,"REGENERATION","Limerick","Weston Gardens",3,"*N/A","","","","","","Q2-2016"
753,"REGENERATION","Limerick","2016 Moyross Rebuild",6,"*N/A","","","","","","Q4-2016"
754,"REGENERATION","Limerick","2016 Southhill Rebuild",8,"*N/A","","","","","","Q4-2016"
755,"REGENERATION","Limerick","2016 St. Mary's Park Rebuild",9,"*N/A","","","","","","Q4-2016"
756,"REGENERATION","Limerick","BCW Vacant Refurbs",14,"*N/A","","","","","","Q4-2016"
757,"REGENERATION","Limerick","St. Mary's Park Infills (Phase 1)",15,"T�ath Housing Association Ltd","","","","","","Q4-2018"
758,"REGENERATION","Limerick","Cliona Park (Phase 3)",18,"T�ath Housing Association Ltd","","Stage 2 approved Q3-2016, full design/tender being prepared.","","","",""
759,"REGENERATION","Limerick","Carew Park",37,"*N/A","Stage 1 approved Q1-2015, outline design and costs being prepared.","","","","",""
760,"REGENERATION","Limerick","Cliona Park",2,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
761,"REGENERATION","Limerick","Dalgaish Park",24,"Cluid Housing Association","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
762,"REGENERATION","Limerick","Markievicz Drive",13,"*N/A","Stage 1 approved Q1-2015, outline design and costs being prepared.","","","","",""
763,"REGENERATION","Limerick","2017 St Mary's Park Rebuild",1,"*N/A","","","","","","Q4-2017"
764,"REGENERATION","Limerick","2017 Ballinacurra Weston Rebuild",1,"*N/A","","","","","","Q4-2017"
765,"REGENERATION","Limerick","2017 Southill Rebuilds",13,"*N/A","","","","","","Q4-2017"
766,"REGENERATION","Limerick","2017 Moyross Rebuild",1,"*N/A","","","","","","Q4-2017"
767,"REGENERATION","Limerick","Churchfield (Phase 1.1)",23,"*N/A","","","","","","Q2-2018"
768,"REGENERATION","Limerick","St. Mary's Park Infills (Phase 2)",4,"T�ath Housing Association Ltd","","","","","Q3-2017",""
769,"CAS CONSTRUCTION","Limerick","Towerfield Crescent, Croom",10,"Croom Voluntary Housing Association Ltd","","","","","Q2-2018",""
770,"CAS CONSTRUCTION","Limerick","Cappamore",12,"Cappamore Housing Association Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
771,"CAS CONSTRUCTION","Limerick","Speakers Corner, Limerick City",4,"Simon Community : Midwest Simon","","","","","","Q3-2018"
772,"CAS CONSTRUCTION","Limerick","Cuan Mhuire, Bruree",6,"Cuan Mhuire Teoranta","","","","","","Q3-2018"
773,"CAS CONSTRUCTION","Limerick","Mirth, Thomondgate",18,"Associated Charities Trust Ltd","","","","","Q2-2018",""
774,"CAS CONSTRUCTION","Limerick","Cois na Feile, Abbeyfeale ",12,"Cluid Housing Association","","","","","","Q4-2016"
775,"CAS CONSTRUCTION","Limerick","Mallow Street",6,"Peter McVerry Trust Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
776,"CAS CONSTRUCTION","Limerick","Pinewood, Mulcaire drive, Garraunykee",1,"Daughters Of Charity Of St Vincent De Paul","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
777,"CAS CONSTRUCTION","Limerick","St. Pauls Convent, Kilfinane",9,"Sophia Housing Association Ltd","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
778,"CALF Construction","Longford","Colmcille Terrace, Granard, Co. Longford. (Phase 1)",21,"T�ath Housing Association Ltd","","","","Q2-2018","",""
779,"CALF Turnkey","Longford","Cartrun Breac, Lisbrack Rd, Longford (Phase 1)",7,"Cluid Housing","","","","","","Q1-2017"
780,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish (Phase 1)",14,"*N/A","","","","","","Q4-2017"
781,"SHIP CONSTRUCTION TURNKEY","Longford","Knock, Lanesborough (Phase 1)",4,"*N/A","","","","","","Q3-2018"
782,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish (Phase 2)",2,"*N/A","","","","","","Q1-2018"
783,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck (Phase 1)",7,"*N/A","","","","","","Q4-2018"
784,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck (Phase 2)",8,"*N/A","","","","","Q3-2018",""
785,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck (Phase 3)",2,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
786,"SHIP CONSTRUCTION TURNKEY","Longford","Rock View, Cloondara",5,"*N/A","","","","","","Q4-2018"
787,"SHIP CONSTRUCTION TURNKEY","Longford","Greville Court, Granard, Co. Longford",14,"*N/A","","","","","Q3-2018",""
788,"SHIP CONSTRUCTION TURNKEY","Longford","Knock, Lanesborough (Phase 2)",29,"*N/A","","","","","","Q4-2018"
789,"SHIP CONSTRUCTION","Longford","Church View, Lanesborough",14,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
790,"SHIP CONSTRUCTION","Longford","Rathcline Road, Lanesborough",4,"*N/A","","","","","Q3-2018",""
