"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1655,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 3",2,"*N/A","","","","","","Q2-2017"
1656,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 3",1,"*N/A","","","","","","Q3-2017"
1657,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 3",4,"*N/A","","","","","","Q4-2017"
1658,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 3",2,"*N/A","","","","","","Q1-2019"
1659,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 4",1,"*N/A","","","","","","Q3-2018"
1660,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 1",1,"*N/A","","","","","","Q1-2020"
1661,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 4",5,"*N/A","","","","","","Q1-2019"
1662,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 3",1,"*N/A","","","","","","Q2-2018"
1663,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 3",4,"*N/A","","","","","","Q3-2018"
1664,"SHIP CONSTRUCTION SINGLE STAGE","Louth","CPO Bundle 2",1,"*N/A","","","","","","Q1-2019"
